date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:23	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2010%20Oct%202017%2013:47:23%20GMT	https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96.0.delayed	(from )
15:47:23	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2010%20Oct%202017%2013:47:23%20GMT	https://medium.com/m/global-identity?redirectUrl=https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96	/Users/thomas/Projects/reactive-conf/offline/medium.com/m/global-identity.1e567.delayed	(from )
15:47:25	148339/148339	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:24%20GMT	https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f9660c1.html	(from )
15:47:25	329/329	---M--	200	added ('OK')	text/plain	etag:%22212696d6904a94cb7a34d9358906db47%22	https://blog.reactiveconf.com/robots.txt		(from )
15:47:26	225338/225338	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:26%20GMT	https://blog.reactiveconf.com/@ReactiveConf	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/@ReactiveConf.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:27	728/728	---M--	200	added ('OK')	application/opensearchdescription+xml	date:Tue,%2010%20Oct%202017%2013:47:26%20GMT	https://blog.reactiveconf.com/osd.xml	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/osd.xml	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:27	25603/25603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Oct%202017%2013:47:27%20GMT	https://blog.reactiveconf.com/android-app://com.medium.reader/https/medium.com/p/a4f5394e5f96	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/android-app_/com.medium.reader/https/medium.com/p/a4f5394e5f96	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:28	241683/241683	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:28%20GMT	https://blog.reactiveconf.com/archive	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/archive.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:28	161193/161193	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:28%20GMT	https://blog.reactiveconf.com/?source=logo-lo_85a8a6f173f6---2629f2067e44	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/index110e.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:29	161193/161193	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:28%20GMT	https://blog.reactiveconf.com/	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/index.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:30	236156/236156	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:29%20GMT	https://blog.reactiveconf.com/tagged/vacuumlabs	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/tagged/vacuumlabs.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:30	55258/55258	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:30%20GMT	https://blog.reactiveconf.com/search	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/search.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html		http://gist.github.com/	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/index.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:32	225396/225396	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:32%20GMT	https://blog.reactiveconf.com/@ReactiveConf?source=post_header_lockup	/Users/thomas/Projects/reactive-conf/offline/blog.reactiveconf.com/@ReactiveConfc66a.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:33	38799/38799	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:33%20GMT	https://gist.github.com/kakadiadarpan/63656fb12a05f371cc536af04b9ce211	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/kakadiadarpan/63656fb12a05f371cc536af04b9ce211.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:34	51750/51750	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:34%20GMT	https://gist.github.com/kamleshchandnani/9b3013b4c10c46e968ce1252f801dfb1	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/kamleshchandnani/9b3013b4c10c46e968ce1252f801dfb1.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:35	44494/44494	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:34%20GMT	https://github.com/ByteArena/reactive-conf-talk-2017	/Users/thomas/Projects/reactive-conf/offline/github.com/ByteArena/reactive-conf-talk-2017.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:36	36398/36398	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:35%20GMT	https://gist.github.com/LucasCaixeta/c930c102b09143730a479f37229898d2	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/LucasCaixeta/c930c102b09143730a479f37229898d2.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:37	51246/51246	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:36%20GMT	https://gist.github.com/siddharthkp/6bc02232ed2e244002fa620aa5a5a124	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/siddharthkp/6bc02232ed2e244002fa620aa5a5a124.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:38	42039/42039	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:37%20GMT	https://gist.github.com/edtsech/31cb444b7271cc757a04f0fe25843405	/Users/thomas/Projects/reactive-conf/offline/gist.github.com/edtsech/31cb444b7271cc757a04f0fe25843405.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
15:47:39	87606/87606	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Oct%202017%2013:47:38%20GMT	https://github.com/toptal/testshot	/Users/thomas/Projects/reactive-conf/offline/github.com/toptal/testshot.html	(from https://blog.reactiveconf.com/open-call-for-reactiveconf-lightning-talks-2017-a4f5394e5f96?gi=1932975481a2)
